metric,label,algorithm,tau_rms_ns,mean,std,count,half_ci,lower,upper
rate_gap_bps_per_hz,DU-Cognitive,du_pf_cognitive,10.0,6.956637382507324,13.867026193023994,32,4.804679445429582,2.151957937077742,11.761316827936906
rate_gap_bps_per_hz,DU-Cognitive,du_pf_cognitive,20.0,13.453924655914307,17.120910057989896,32,5.932092685023914,7.521831970890393,19.38601734093822
rate_gap_bps_per_hz,DU-Cognitive,du_pf_cognitive,50.0,23.261098384857178,20.349972093190868,32,7.050905599385609,16.21019278547157,30.312003984242786
rate_gap_bps_per_hz,DU-Cognitive,du_pf_cognitive,100.0,31.822715759277344,19.714785342410913,32,6.830824618575394,24.99189114070195,38.653540377852735
rate_gap_bps_per_hz,DU-Cognitive,du_pf_cognitive,200.0,38.657798290252686,21.16582647010986,32,7.3335847189518795,31.324213571300806,45.99138300920457
rate_gap_bps_per_hz,DU-Cognitive,du_pf_cognitive,400.0,41.03125238418579,21.611671525356346,32,7.4880621492942865,33.543190234891505,48.51931453348008
rate_gap_bps_per_hz,DU-Cognitive,du_pf_cognitive,800.0,41.77326202392578,21.078445360484857,32,7.303308709121792,34.46995331480399,49.076570733047575
rate_gap_bps_per_hz,PF-Cognitive,pf_fs_cognitive,10.0,7.249542713165283,16.80860369083914,32,5.823884049514096,1.4256586636511868,13.073426762679379
rate_gap_bps_per_hz,PF-Cognitive,pf_fs_cognitive,20.0,14.415571689605713,17.60827017472392,32,6.100954350300937,8.314617339304775,20.51652603990665
rate_gap_bps_per_hz,PF-Cognitive,pf_fs_cognitive,50.0,23.770162105560303,26.470218987401683,32,9.171462959287473,14.59869914627283,32.94162506484778
rate_gap_bps_per_hz,PF-Cognitive,pf_fs_cognitive,100.0,42.11585855484009,51.41275199390525,32,17.81360973143277,24.302248823407318,59.92946828627286
rate_gap_bps_per_hz,PF-Cognitive,pf_fs_cognitive,200.0,52.39657211303711,48.798125290524524,32,16.90768779803912,35.48888431499799,69.30425991107623
rate_gap_bps_per_hz,PF-Cognitive,pf_fs_cognitive,400.0,58.67420434951782,54.758952056195895,32,18.973008901506525,39.7011954480113,77.64721325102434
rate_gap_bps_per_hz,PF-Cognitive,pf_fs_cognitive,800.0,63.48094415664673,51.40190570544614,32,17.8098516842139,45.67109247243283,81.29079584086062
rate_gap_bps_per_hz,PF-Soft,pf_fs_soft,10.0,17.80415153503418,31.216197481451587,32,10.815860611776491,6.988290923257688,28.620012146810673
rate_gap_bps_per_hz,PF-Soft,pf_fs_soft,20.0,31.271344661712646,34.6339011849001,32,12.000034529525953,19.27131013218669,43.2713791912386
rate_gap_bps_per_hz,PF-Soft,pf_fs_soft,50.0,51.2006139755249,46.26547629528953,32,16.0301696913801,35.17044428414481,67.230783666905
rate_gap_bps_per_hz,PF-Soft,pf_fs_soft,100.0,65.39166259765625,56.45765600647919,32,19.561579791918636,45.83008280573762,84.95324238957488
rate_gap_bps_per_hz,PF-Soft,pf_fs_soft,200.0,84.53843212127686,63.428310593354304,32,21.976788384486003,62.561643736790856,106.51522050576285
rate_gap_bps_per_hz,PF-Soft,pf_fs_soft,400.0,93.36786651611328,71.2180801534384,32,24.675805835595845,68.69206068051744,118.04367235170912
rate_gap_bps_per_hz,PF-Soft,pf_fs_soft,800.0,87.71650981903076,65.13610555959036,32,22.56850915122187,65.14800066780889,110.28501897025264
